"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Advanced certificate/completed apprenticeship","Number","6352"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Higher certificate","Number","5968"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","6262"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Honours bachelor degree/professional qualification or both","Number","5350"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Postgraduate diploma or degree","Number","3423"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Doctorate (Ph.D.)","Number","356"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Not stated","Number","12894"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Economic status - other","Number","15435"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Total education ceased and not ceased","Number","92077"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","No formal education","Number","10085"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Primary","Number","13712"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Lower secondary","Number","23217"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Upper secondary","Number","13621"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Technical/vocational","Number","5518"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Advanced certificate/completed apprenticeship","Number","3656"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Higher certificate","Number","2090"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Ordinary bachelor degree/professional qualification or both","Number","2396"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Honours bachelor degree/professional qualification or both","Number","1986"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Postgraduate diploma or degree","Number","1231"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Doctorate (Ph.D.)","Number","179"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Not stated","Number","6666"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Male","Economic status - other","Number","7720"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Total education ceased and not ceased","Number","97231"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","No formal education","Number","7822"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Primary","Number","12477"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Lower secondary","Number","20816"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Upper secondary","Number","18141"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Technical/vocational","Number","7859"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Advanced certificate/completed apprenticeship","Number","2696"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Higher certificate","Number","3878"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Ordinary bachelor degree/professional qualification or both","Number","3866"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Honours bachelor degree/professional qualification or both","Number","3364"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Postgraduate diploma or degree","Number","2192"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Doctorate (Ph.D.)","Number","177"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Not stated","Number","6228"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Female","Economic status - other","Number","7715"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Total education ceased and not ceased","Number","27062"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","No formal education","Number","1065"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Primary","Number","2192"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Lower secondary","Number","3854"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Upper secondary","Number","4054"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Technical/vocational","Number","1711"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Advanced certificate/completed apprenticeship","Number","914"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Higher certificate","Number","1072"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","1455"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Honours bachelor degree/professional qualification or both","Number","1809"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Postgraduate diploma or degree","Number","1713"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Doctorate (Ph.D.)","Number","184"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Not stated","Number","3330"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Others not in labour force","Both sexes","Economic status - other","Number","3709"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Total education ceased and not ceased","Number","11310"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","No formal education","Number","526"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Primary","Number","1100"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Lower secondary","Number","1948"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Upper secondary","Number","1505"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Technical/vocational","Number","600"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Advanced certificate/completed apprenticeship","Number","426"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Higher certificate","Number","329"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Ordinary bachelor degree/professional qualification or both","Number","499"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Honours bachelor degree/professional qualification or both","Number","571"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Postgraduate diploma or degree","Number","455"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Doctorate (Ph.D.)","Number","75"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Not stated","Number","1644"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Others not in labour force","Male","Economic status - other","Number","1632"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Total education ceased and not ceased","Number","15752"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","No formal education","Number","539"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Primary","Number","1092"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Lower secondary","Number","1906"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Upper secondary","Number","2549"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Technical/vocational","Number","1111"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Advanced certificate/completed apprenticeship","Number","488"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Higher certificate","Number","743"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Ordinary bachelor degree/professional qualification or both","Number","956"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Honours bachelor degree/professional qualification or both","Number","1238"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Postgraduate diploma or degree","Number","1258"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Doctorate (Ph.D.)","Number","109"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Not stated","Number","1686"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Others not in labour force","Female","Economic status - other","Number","2077"
